run_id	scout_nms_iou	roi_merge_iou	final_nms_iou	sniper_score_bonus	cfg	json	log
1	0.45	0.25	0.45	0.0	configs/experiment/arch4_sr_sniper_nms_overnight/run_001_scout0.45_roi0.25_final0.45_bonus0.0.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_001_scout0.45_roi0.25_final0.45_bonus0.0.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_001_scout0.45_roi0.25_final0.45_bonus0.0.log
2	0.45	0.25	0.45	0.05	configs/experiment/arch4_sr_sniper_nms_overnight/run_002_scout0.45_roi0.25_final0.45_bonus0.05.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_002_scout0.45_roi0.25_final0.45_bonus0.05.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_002_scout0.45_roi0.25_final0.45_bonus0.05.log
3	0.45	0.25	0.50	0.0	configs/experiment/arch4_sr_sniper_nms_overnight/run_003_scout0.45_roi0.25_final0.50_bonus0.0.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_003_scout0.45_roi0.25_final0.50_bonus0.0.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_003_scout0.45_roi0.25_final0.50_bonus0.0.log
4	0.45	0.25	0.50	0.05	configs/experiment/arch4_sr_sniper_nms_overnight/run_004_scout0.45_roi0.25_final0.50_bonus0.05.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_004_scout0.45_roi0.25_final0.50_bonus0.05.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_004_scout0.45_roi0.25_final0.50_bonus0.05.log
5	0.45	0.25	0.55	0.0	configs/experiment/arch4_sr_sniper_nms_overnight/run_005_scout0.45_roi0.25_final0.55_bonus0.0.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_005_scout0.45_roi0.25_final0.55_bonus0.0.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_005_scout0.45_roi0.25_final0.55_bonus0.0.log
6	0.45	0.25	0.55	0.05	configs/experiment/arch4_sr_sniper_nms_overnight/run_006_scout0.45_roi0.25_final0.55_bonus0.05.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_006_scout0.45_roi0.25_final0.55_bonus0.05.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_006_scout0.45_roi0.25_final0.55_bonus0.05.log
7	0.45	0.30	0.45	0.0	configs/experiment/arch4_sr_sniper_nms_overnight/run_007_scout0.45_roi0.30_final0.45_bonus0.0.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_007_scout0.45_roi0.30_final0.45_bonus0.0.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_007_scout0.45_roi0.30_final0.45_bonus0.0.log
8	0.45	0.30	0.45	0.05	configs/experiment/arch4_sr_sniper_nms_overnight/run_008_scout0.45_roi0.30_final0.45_bonus0.05.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_008_scout0.45_roi0.30_final0.45_bonus0.05.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_008_scout0.45_roi0.30_final0.45_bonus0.05.log
9	0.45	0.30	0.50	0.0	configs/experiment/arch4_sr_sniper_nms_overnight/run_009_scout0.45_roi0.30_final0.50_bonus0.0.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_009_scout0.45_roi0.30_final0.50_bonus0.0.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_009_scout0.45_roi0.30_final0.50_bonus0.0.log
10	0.45	0.30	0.50	0.05	configs/experiment/arch4_sr_sniper_nms_overnight/run_010_scout0.45_roi0.30_final0.50_bonus0.05.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_010_scout0.45_roi0.30_final0.50_bonus0.05.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_010_scout0.45_roi0.30_final0.50_bonus0.05.log
11	0.45	0.30	0.55	0.0	configs/experiment/arch4_sr_sniper_nms_overnight/run_011_scout0.45_roi0.30_final0.55_bonus0.0.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_011_scout0.45_roi0.30_final0.55_bonus0.0.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_011_scout0.45_roi0.30_final0.55_bonus0.0.log
12	0.45	0.30	0.55	0.05	configs/experiment/arch4_sr_sniper_nms_overnight/run_012_scout0.45_roi0.30_final0.55_bonus0.05.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_012_scout0.45_roi0.30_final0.55_bonus0.05.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_012_scout0.45_roi0.30_final0.55_bonus0.05.log
13	0.45	0.35	0.45	0.0	configs/experiment/arch4_sr_sniper_nms_overnight/run_013_scout0.45_roi0.35_final0.45_bonus0.0.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_013_scout0.45_roi0.35_final0.45_bonus0.0.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_013_scout0.45_roi0.35_final0.45_bonus0.0.log
