epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.2516,1.64929,3.07141,1.33939,0.50308,0.36694,0.33928,0.1902,1.35546,2.04603,1.12727,0.00332292,0.00332292,0.00332292
2,112.934,1.54301,2.18436,1.23591,0.50352,0.36772,0.34141,0.18082,1.51902,1.71671,1.14668,0.00659035,0.00659035,0.00659035
3,165.537,1.67098,2.15163,1.32405,0.38514,0.26239,0.21921,0.11075,1.80573,2.24543,1.45473,0.00979179,0.00979179,0.00979179
4,216.247,1.71162,2.15319,1.37084,0.40462,0.35525,0.25411,0.14324,1.52075,1.87346,1.28594,0.009703,0.009703,0.009703
5,264.742,1.62901,2.04331,1.35445,0.53887,0.36133,0.35807,0.19393,1.57879,1.67565,1.28064,0.009604,0.009604,0.009604
6,314.428,1.57146,1.96408,1.32282,0.49907,0.39218,0.32562,0.18795,1.422,1.66595,1.23362,0.009505,0.009505,0.009505
7,366.276,1.53369,1.91276,1.30552,0.5198,0.34294,0.32305,0.1886,1.52515,1.75505,1.28255,0.009406,0.009406,0.009406
8,414.639,1.5198,1.89613,1.30303,0.60134,0.42303,0.4362,0.26655,1.30412,1.41122,1.16781,0.009307,0.009307,0.009307
9,463.104,1.51045,1.87184,1.29521,0.58396,0.4048,0.4057,0.2433,1.3445,1.43727,1.19174,0.009208,0.009208,0.009208
10,513.231,1.49183,1.84729,1.28923,0.62254,0.43144,0.44477,0.28381,1.2862,1.35333,1.16961,0.009109,0.009109,0.009109
11,562.206,1.47835,1.83183,1.28307,0.59467,0.41586,0.41438,0.24648,1.35972,1.43425,1.21434,0.00901,0.00901,0.00901
12,610.697,1.45962,1.82352,1.2783,0.55425,0.36148,0.36512,0.22145,1.33808,1.64748,1.18839,0.008911,0.008911,0.008911
13,659.87,1.46867,1.81715,1.27836,0.65965,0.4411,0.47681,0.29462,1.25569,1.2662,1.13826,0.008812,0.008812,0.008812
14,708.299,1.45931,1.81885,1.28191,0.63412,0.45294,0.47138,0.30095,1.20128,1.28943,1.12093,0.008713,0.008713,0.008713
15,757.054,1.4499,1.78606,1.27277,0.62414,0.45253,0.47375,0.30332,1.17636,1.2459,1.10806,0.008614,0.008614,0.008614
16,805.598,1.44403,1.79198,1.27612,0.60721,0.42022,0.43096,0.27209,1.2698,1.33456,1.17706,0.008515,0.008515,0.008515
17,854.186,1.4464,1.79916,1.27787,0.69491,0.46229,0.50167,0.32467,1.17239,1.22754,1.11145,0.008416,0.008416,0.008416
18,903.117,1.43998,1.78288,1.27144,0.6891,0.46139,0.50208,0.32447,1.15459,1.17132,1.10493,0.008317,0.008317,0.008317
19,951.866,1.42901,1.7798,1.26725,0.71505,0.46198,0.51721,0.33642,1.13524,1.12931,1.09369,0.008218,0.008218,0.008218
20,1001.95,1.4352,1.77772,1.26544,0.67629,0.48021,0.51391,0.33547,1.11474,1.1367,1.07407,0.008119,0.008119,0.008119
21,1050.33,1.42697,1.754,1.25909,0.67507,0.47055,0.50735,0.32755,1.12131,1.15411,1.07875,0.00802,0.00802,0.00802
22,1099.7,1.41727,1.7534,1.25934,0.67602,0.47164,0.51722,0.34061,1.09128,1.11024,1.06977,0.007921,0.007921,0.007921
23,1148.72,1.41557,1.74271,1.25925,0.71442,0.48918,0.52982,0.35306,1.07572,1.06234,1.05319,0.007822,0.007822,0.007822
24,1197.78,1.42187,1.7424,1.25599,0.7233,0.49361,0.54363,0.36338,1.06949,1.05894,1.05746,0.007723,0.007723,0.007723
25,1246.47,1.40969,1.73814,1.2555,0.69265,0.47403,0.52628,0.35235,1.04722,1.08743,1.04249,0.007624,0.007624,0.007624
26,1295.26,1.4121,1.73367,1.25674,0.72652,0.50167,0.54924,0.3714,1.04214,1.02222,1.03962,0.007525,0.007525,0.007525
27,1343.91,1.412,1.73149,1.25402,0.71854,0.50623,0.55705,0.37831,1.03214,1.01201,1.0386,0.007426,0.007426,0.007426
28,1392.65,1.40572,1.73194,1.25236,0.73062,0.50125,0.55754,0.37785,1.02563,1.0183,1.03577,0.007327,0.007327,0.007327
29,1441.28,1.4086,1.73048,1.25303,0.72358,0.50577,0.55979,0.38055,1.01639,0.99441,1.02749,0.007228,0.007228,0.007228
30,1490.09,1.38884,1.70587,1.24024,0.73046,0.49377,0.55334,0.37928,1.00369,0.99342,1.02539,0.007129,0.007129,0.007129
31,1538.74,1.39125,1.72962,1.24568,0.72694,0.50841,0.56337,0.38382,0.99898,0.98649,1.02299,0.00703,0.00703,0.00703
32,1587.3,1.38466,1.70184,1.23984,0.74125,0.50654,0.56684,0.38686,0.99541,0.9747,1.02338,0.006931,0.006931,0.006931
33,1635.98,1.38792,1.721,1.2419,0.73986,0.51004,0.56906,0.38994,0.98709,0.96832,1.01707,0.006832,0.006832,0.006832
34,1684.49,1.38589,1.69564,1.24262,0.753,0.51215,0.57607,0.39494,0.98377,0.95532,1.01404,0.006733,0.006733,0.006733
35,1733.09,1.3823,1.67972,1.23272,0.752,0.51387,0.57638,0.39756,0.97855,0.94931,1.01112,0.006634,0.006634,0.006634
36,1781.78,1.37387,1.68696,1.23431,0.74627,0.51603,0.57789,0.39426,0.97475,0.94541,1.01015,0.006535,0.006535,0.006535
37,1830.61,1.37857,1.68398,1.23484,0.74109,0.51433,0.57722,0.39457,0.97036,0.9519,1.00917,0.006436,0.006436,0.006436
38,1879.22,1.36559,1.67996,1.23353,0.7457,0.51122,0.57732,0.39729,0.96144,0.95153,1.00691,0.006337,0.006337,0.006337
39,1927.85,1.37067,1.68828,1.23714,0.73457,0.51745,0.57643,0.39684,0.95929,0.94564,1.00538,0.006238,0.006238,0.006238
40,1976.43,1.36373,1.672,1.22963,0.73382,0.51574,0.5777,0.3986,0.95898,0.94024,1.0036,0.006139,0.006139,0.006139
41,2025.05,1.36102,1.67383,1.22474,0.75116,0.51574,0.58128,0.4004,0.95695,0.93372,1.00335,0.00604,0.00604,0.00604
42,2074.08,1.35172,1.66913,1.22886,0.74048,0.52244,0.58301,0.4022,0.94938,0.92648,1.00066,0.005941,0.005941,0.005941
43,2122.71,1.35536,1.66571,1.22548,0.75185,0.52057,0.58278,0.40306,0.94311,0.924,0.99681,0.005842,0.005842,0.005842
44,2171.33,1.34754,1.64787,1.22027,0.73745,0.52649,0.58373,0.40435,0.94065,0.92274,0.99721,0.005743,0.005743,0.005743
45,2219.94,1.35169,1.6552,1.22192,0.74187,0.52664,0.58446,0.40605,0.93977,0.91663,0.99659,0.005644,0.005644,0.005644
46,2268.57,1.34975,1.65488,1.21845,0.75198,0.52462,0.58553,0.40762,0.93827,0.91273,0.99676,0.005545,0.005545,0.005545
47,2317.11,1.33466,1.63113,1.21608,0.75983,0.51901,0.5867,0.40875,0.93717,0.91135,0.9967,0.005446,0.005446,0.005446
48,2365.69,1.33516,1.6512,1.22034,0.76128,0.52057,0.58902,0.41116,0.93378,0.90676,0.99489,0.005347,0.005347,0.005347
49,2414.28,1.33629,1.63683,1.2104,0.76128,0.52057,0.58899,0.41074,0.93137,0.90642,0.99317,0.005248,0.005248,0.005248
50,2462.84,1.33845,1.62837,1.21152,0.75947,0.52051,0.58891,0.41055,0.93232,0.90698,0.99323,0.005149,0.005149,0.005149
51,2511.46,1.31505,1.61247,1.20343,0.75859,0.52306,0.58969,0.41123,0.9314,0.90312,0.99289,0.00505,0.00505,0.00505
52,2560.06,1.31525,1.62705,1.20796,0.75855,0.52228,0.59026,0.41224,0.92955,0.90284,0.9925,0.004951,0.004951,0.004951
53,2608.7,1.30933,1.61424,1.20042,0.75572,0.524,0.59097,0.41251,0.92742,0.89931,0.99161,0.004852,0.004852,0.004852
54,2657.37,1.30577,1.60625,1.19796,0.75661,0.52407,0.59214,0.41302,0.92594,0.89789,0.99097,0.004753,0.004753,0.004753
55,2705.94,1.31281,1.6231,1.2067,0.75622,0.52602,0.59289,0.41368,0.92424,0.89544,0.99037,0.004654,0.004654,0.004654
56,2754.52,1.3074,1.61092,1.20538,0.75479,0.5254,0.59336,0.41398,0.92316,0.89434,0.98987,0.004555,0.004555,0.004555
57,2803.09,1.31176,1.6153,1.20389,0.75371,0.52789,0.5941,0.41395,0.92241,0.89421,0.98953,0.004456,0.004456,0.004456
58,2851.68,1.29567,1.59853,1.19522,0.75429,0.52836,0.59476,0.41439,0.92057,0.89422,0.9892,0.004357,0.004357,0.004357
59,2900.27,1.29571,1.58877,1.195,0.75369,0.52836,0.59435,0.41471,0.92027,0.89466,0.98907,0.004258,0.004258,0.004258
60,2948.92,1.29356,1.58506,1.19462,0.75452,0.52805,0.59383,0.41441,0.9195,0.89521,0.98874,0.004159,0.004159,0.004159
61,2997.49,1.2906,1.58465,1.19391,0.75288,0.52836,0.59506,0.41529,0.91817,0.89439,0.98824,0.00406,0.00406,0.00406
62,3046.07,1.28716,1.57622,1.18939,0.75523,0.52805,0.59481,0.41519,0.91716,0.89405,0.98759,0.003961,0.003961,0.003961
63,3094.59,1.27627,1.56521,1.18647,0.75683,0.52789,0.59504,0.41564,0.91609,0.89333,0.98721,0.003862,0.003862,0.003862
64,3143.61,1.27396,1.56632,1.18907,0.75684,0.52773,0.59557,0.41575,0.91567,0.89339,0.98719,0.003763,0.003763,0.003763
65,3192.08,1.276,1.56317,1.1867,0.75761,0.52741,0.59559,0.41563,0.91441,0.89337,0.98684,0.003664,0.003664,0.003664
66,3240.7,1.27302,1.57048,1.18529,0.75169,0.52921,0.59554,0.41552,0.91344,0.89363,0.98629,0.003565,0.003565,0.003565
67,3289.22,1.27457,1.56372,1.18796,0.75415,0.52789,0.59589,0.41515,0.91272,0.8939,0.98604,0.003466,0.003466,0.003466
68,3337.75,1.26365,1.55298,1.17967,0.75719,0.52836,0.5965,0.41562,0.91233,0.8943,0.98619,0.003367,0.003367,0.003367
69,3386.21,1.25284,1.53084,1.17356,0.7586,0.52733,0.59615,0.41534,0.91217,0.89543,0.98655,0.003268,0.003268,0.003268
70,3434.71,1.24148,1.52476,1.16754,0.75802,0.52664,0.59581,0.41492,0.91169,0.89615,0.98631,0.003169,0.003169,0.003169
71,3483.19,1.25034,1.52067,1.1721,0.75252,0.52789,0.5958,0.41569,0.91053,0.89651,0.98605,0.00307,0.00307,0.00307
72,3531.74,1.2504,1.53746,1.17676,0.75192,0.53034,0.59669,0.41583,0.90939,0.8971,0.98567,0.002971,0.002971,0.002971
73,3580.18,1.23416,1.52469,1.17041,0.75515,0.52716,0.59649,0.41591,0.90864,0.8988,0.98562,0.002872,0.002872,0.002872
74,3628.64,1.2339,1.52056,1.17021,0.75443,0.52758,0.59647,0.41609,0.90817,0.90132,0.98544,0.002773,0.002773,0.002773
75,3677.1,1.22866,1.5183,1.16765,0.75172,0.52851,0.59628,0.4159,0.90757,0.90383,0.98543,0.002674,0.002674,0.002674
76,3725.52,1.22792,1.51884,1.16454,0.75191,0.52805,0.59622,0.41599,0.90695,0.90641,0.9854,0.002575,0.002575,0.002575
77,3773.86,1.21747,1.4989,1.16055,0.75352,0.52727,0.59625,0.41612,0.90643,0.90906,0.98535,0.002476,0.002476,0.002476
78,3822.27,1.20998,1.4941,1.15776,0.75285,0.52727,0.5962,0.41566,0.90597,0.91296,0.98535,0.002377,0.002377,0.002377
79,3870.62,1.20429,1.48831,1.15431,0.75671,0.52555,0.59559,0.41543,0.90511,0.91679,0.98514,0.002278,0.002278,0.002278
80,3918.95,1.20393,1.48208,1.15812,0.75894,0.52194,0.59521,0.41525,0.90437,0.92042,0.98491,0.002179,0.002179,0.002179
