epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.1571,1.54903,2.72744,1.31243,0.59081,0.4168,0.42844,0.26193,1.15692,1.38942,1.00569,0.00332292,0.00332292,0.00332292
2,150.01,1.42241,1.79403,1.19119,0.51909,0.38922,0.3527,0.20734,1.33515,1.71617,1.11322,0.00659035,0.00659035,0.00659035
3,223.704,1.60946,2.00311,1.30173,0.37253,0.26441,0.20018,0.10103,1.78441,3.4029,1.42825,0.00979179,0.00979179,0.00979179
4,295.498,1.68129,2.08604,1.36821,0.52978,0.35525,0.32675,0.18407,1.54006,1.66786,1.30304,0.009703,0.009703,0.009703
5,368.035,1.57105,1.94346,1.32828,0.55499,0.36694,0.35188,0.20149,1.51888,1.67869,1.27368,0.009604,0.009604,0.009604
6,439.309,1.51917,1.87923,1.30885,0.56743,0.38629,0.3728,0.22546,1.41021,1.54378,1.25979,0.009505,0.009505,0.009505
7,512.482,1.4776,1.82537,1.2874,0.60875,0.41181,0.42807,0.26636,1.29514,1.38001,1.16459,0.009406,0.009406,0.009406
8,585.038,1.4547,1.80194,1.2816,0.62942,0.43425,0.45083,0.27988,1.2393,1.38636,1.13328,0.009307,0.009307,0.009307
9,654.921,1.44865,1.7803,1.2726,0.61099,0.44126,0.4535,0.29254,1.20785,1.26264,1.12298,0.009208,0.009208,0.009208
10,724.857,1.42617,1.7585,1.26554,0.602,0.43285,0.43578,0.28133,1.21104,1.30139,1.13983,0.009109,0.009109,0.009109
11,796.813,1.41094,1.73367,1.25702,0.67605,0.45978,0.49759,0.32264,1.14309,1.15895,1.09898,0.00901,0.00901,0.00901
12,867.529,1.40007,1.72738,1.25425,0.68125,0.46058,0.4954,0.32342,1.14018,1.1702,1.0895,0.008911,0.008911,0.008911
13,937.56,1.39475,1.72507,1.25509,0.63612,0.46977,0.49785,0.32084,1.13679,1.19002,1.0969,0.008812,0.008812,0.008812
14,1008.04,1.39672,1.72293,1.25489,0.72282,0.4827,0.53571,0.35157,1.10632,1.111,1.06765,0.008713,0.008713,0.008713
15,1078.42,1.38444,1.7012,1.24924,0.71298,0.4746,0.52936,0.34076,1.12663,1.12326,1.08034,0.008614,0.008614,0.008614
16,1149.37,1.37642,1.69434,1.24432,0.69403,0.49782,0.53422,0.35433,1.08291,1.05304,1.05705,0.008515,0.008515,0.008515
17,1219.71,1.37165,1.70163,1.24583,0.72589,0.49252,0.54635,0.36704,1.05449,1.0603,1.04791,0.008416,0.008416,0.008416
18,1290.27,1.37209,1.69207,1.23625,0.71556,0.49545,0.53709,0.36087,1.04818,1.05487,1.04722,0.008317,0.008317,0.008317
19,1360.91,1.37066,1.68962,1.23799,0.73797,0.49377,0.55188,0.36512,1.04749,1.02907,1.05118,0.008218,0.008218,0.008218
20,1431.15,1.36606,1.68176,1.23677,0.71798,0.5053,0.56002,0.37193,1.04863,1.00779,1.04175,0.008119,0.008119,0.008119
