epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9344,1.65009,3.01124,1.31297,0.5043,0.39327,0.35875,0.21302,1.25393,2.1757,1.0417,0.00332292,0.00332292,0.00332292
2,107.673,1.51546,2.10863,1.21449,0.55081,0.35868,0.35202,0.19888,1.45857,1.69948,1.18132,0.00659035,0.00659035,0.00659035
3,153.123,1.6372,2.1006,1.30335,0.29071,0.17061,0.13095,0.07059,1.9699,2.81174,1.48683,0.00979179,0.00979179,0.00979179
4,198.935,1.68046,2.09784,1.35866,0.55825,0.37457,0.36987,0.21481,1.481,1.59309,1.24863,0.009703,0.009703,0.009703
5,248.709,1.59482,1.99332,1.33352,0.56965,0.38096,0.38082,0.21924,1.46759,1.60265,1.22207,0.009604,0.009604,0.009604
6,294.345,1.55295,1.91951,1.30506,0.56015,0.40729,0.37037,0.22071,1.3556,1.46267,1.17093,0.009505,0.009505,0.009505
7,340.178,1.51638,1.87872,1.29535,0.61859,0.41469,0.42688,0.26285,1.32174,1.40034,1.17347,0.009406,0.009406,0.009406
8,385.747,1.49198,1.86145,1.28893,0.60784,0.41991,0.4395,0.26547,1.3123,1.3723,1.15054,0.009307,0.009307,0.009307
9,432.209,1.48284,1.83718,1.28258,0.63572,0.43453,0.46481,0.29391,1.23412,1.28195,1.12949,0.009208,0.009208,0.009208
10,478.983,1.46707,1.81869,1.27578,0.60306,0.44173,0.445,0.2841,1.23837,1.32125,1.13179,0.009109,0.009109,0.009109
11,525.826,1.45171,1.79463,1.26839,0.66636,0.46292,0.48285,0.30633,1.19499,1.22522,1.116,0.00901,0.00901,0.00901
12,571.588,1.44365,1.78762,1.26517,0.63842,0.45254,0.47215,0.29673,1.23916,1.25504,1.14292,0.008911,0.008911,0.008911
13,617.542,1.44019,1.78331,1.26848,0.65771,0.44968,0.48431,0.30383,1.20332,1.21913,1.11074,0.008812,0.008812,0.008812
14,663.41,1.43325,1.77921,1.26674,0.63397,0.44328,0.46696,0.30327,1.16657,1.22922,1.10637,0.008713,0.008713,0.008713
15,710.107,1.42682,1.76229,1.26181,0.68915,0.45793,0.49901,0.32121,1.16012,1.16483,1.09911,0.008614,0.008614,0.008614
16,756.082,1.42512,1.76739,1.26534,0.68884,0.46877,0.50279,0.32536,1.14588,1.15168,1.09221,0.008515,0.008515,0.008515
17,802.765,1.42509,1.76517,1.26608,0.66485,0.45034,0.48234,0.31156,1.17577,1.23553,1.10691,0.008416,0.008416,0.008416
18,848.654,1.40988,1.75324,1.25866,0.71285,0.45668,0.50901,0.33156,1.11589,1.13871,1.08943,0.008317,0.008317,0.008317
19,894.716,1.40886,1.74674,1.25663,0.70726,0.46541,0.51383,0.33186,1.12807,1.12833,1.09251,0.008218,0.008218,0.008218
20,940.462,1.41676,1.75878,1.26239,0.71123,0.46934,0.52251,0.345,1.09347,1.10801,1.06465,0.008119,0.008119,0.008119
21,986.127,1.41383,1.73703,1.25768,0.69614,0.47912,0.52931,0.34935,1.08421,1.08764,1.05804,0.00802,0.00802,0.00802
22,1031.61,1.39185,1.729,1.24814,0.71905,0.48987,0.54195,0.35799,1.07848,1.05125,1.0574,0.007921,0.007921,0.007921
23,1077.22,1.3968,1.71472,1.24803,0.70809,0.50305,0.54975,0.36838,1.05107,1.03982,1.04729,0.007822,0.007822,0.007822
24,1123.43,1.39669,1.71656,1.24563,0.7194,0.49642,0.5511,0.3706,1.0413,1.02586,1.04354,0.007723,0.007723,0.007723
25,1168.91,1.38733,1.70887,1.24587,0.71801,0.49455,0.55101,0.37324,1.02404,1.02638,1.03597,0.007624,0.007624,0.007624
26,1214.5,1.38435,1.7063,1.24041,0.72372,0.51231,0.56224,0.37878,1.02272,0.99405,1.03558,0.007525,0.007525,0.007525
27,1260.57,1.38869,1.71118,1.2422,0.74116,0.50638,0.5613,0.3798,1.01127,0.981,1.02968,0.007426,0.007426,0.007426
