epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.0508,1.57983,2.47626,1.30036,0.60686,0.46154,0.45879,0.29293,1.11816,1.22232,1.00084,0.00332292,0.00332292,0.00332292
2,146.734,1.39763,1.77695,1.18588,0.61083,0.4034,0.40593,0.24569,1.26115,1.49134,1.10299,0.00659035,0.00659035,0.00659035
3,219.394,1.56875,1.94755,1.28522,0.43176,0.32097,0.25743,0.13792,1.64273,2.07903,1.32833,0.00979179,0.00979179,0.00979179
4,289.839,1.63853,2.0213,1.34581,0.5599,0.39779,0.37651,0.21973,1.4703,1.51086,1.2428,0.009703,0.009703,0.009703
5,359.2,1.54277,1.91293,1.31612,0.53825,0.34599,0.3226,0.19452,1.46939,1.68879,1.25996,0.009604,0.009604,0.009604
6,428.659,1.49862,1.83965,1.29868,0.58647,0.4119,0.42069,0.26085,1.28626,1.38098,1.18415,0.009505,0.009505,0.009505
7,498.826,1.45582,1.79528,1.27872,0.62242,0.41088,0.43118,0.26525,1.30228,1.38201,1.16246,0.009406,0.009406,0.009406
8,569.636,1.43251,1.77539,1.27268,0.68303,0.45887,0.50117,0.3177,1.19164,1.21388,1.11519,0.009307,0.009307,0.009307
9,639.433,1.42573,1.75219,1.26629,0.66998,0.44141,0.4774,0.30595,1.1795,1.21426,1.11401,0.009208,0.009208,0.009208
10,708.222,1.40417,1.73558,1.26084,0.71225,0.46619,0.50558,0.3334,1.15495,1.14477,1.09601,0.009109,0.009109,0.009109
11,778.548,1.39419,1.71359,1.25642,0.68917,0.47382,0.51555,0.33552,1.12762,1.1247,1.09444,0.00901,0.00901,0.00901
12,847.467,1.37712,1.7067,1.25365,0.70652,0.464,0.51143,0.33118,1.12557,1.14364,1.09809,0.008911,0.008911,0.008911
13,917.036,1.378,1.6985,1.25462,0.69026,0.48348,0.53061,0.34282,1.10446,1.11016,1.07859,0.008812,0.008812,0.008812
14,987.615,1.37283,1.7015,1.2536,0.69568,0.46838,0.51412,0.33213,1.12429,1.15069,1.09294,0.008713,0.008713,0.008713
15,1057.2,1.36174,1.67632,1.24246,0.70822,0.4933,0.54196,0.3617,1.07382,1.07678,1.06119,0.008614,0.008614,0.008614
16,1126.76,1.35952,1.68278,1.24384,0.70691,0.49194,0.54529,0.36098,1.06293,1.05972,1.05362,0.008515,0.008515,0.008515
17,1196.97,1.35831,1.6819,1.24793,0.71487,0.50405,0.56202,0.37082,1.03076,1.03092,1.04951,0.008416,0.008416,0.008416
18,1267.37,1.35293,1.67136,1.23778,0.7219,0.49984,0.54721,0.37056,1.01914,1.03523,1.03531,0.008317,0.008317,0.008317
19,1337.58,1.34184,1.65771,1.23534,0.73021,0.50608,0.55431,0.37419,1.01916,1.01434,1.03552,0.008218,0.008218,0.008218
20,1406.95,1.3518,1.67193,1.24037,0.71851,0.50592,0.56101,0.37899,1.0143,1.00337,1.029,0.008119,0.008119,0.008119
21,1476.78,1.34112,1.64782,1.22621,0.71977,0.51418,0.57104,0.38847,0.98985,0.97014,1.02235,0.00802,0.00802,0.00802
22,1546.34,1.32789,1.64516,1.2275,0.76331,0.51418,0.5792,0.39836,0.96645,0.94321,1.01455,0.007921,0.007921,0.007921
23,1616.1,1.32316,1.62808,1.2219,0.74408,0.52026,0.57832,0.39832,0.95816,0.94687,1.00621,0.007822,0.007822,0.007822
24,1685.32,1.32532,1.62212,1.22095,0.75248,0.53193,0.5898,0.4079,0.95932,0.93188,1.00856,0.007723,0.007723,0.007723
25,1755.09,1.31631,1.62478,1.2218,0.73045,0.5229,0.58608,0.40562,0.9487,0.92928,1.00296,0.007624,0.007624,0.007624
26,1824.52,1.31843,1.6165,1.22105,0.73334,0.51963,0.58229,0.40189,0.94814,0.94173,1.00721,0.007525,0.007525,0.007525
27,1894.19,1.31751,1.6198,1.22101,0.75727,0.53256,0.59502,0.41361,0.93241,0.90718,0.99659,0.007426,0.007426,0.007426
28,1963.77,1.3123,1.61975,1.21568,0.75423,0.53069,0.59554,0.4167,0.92182,0.89922,0.99503,0.007327,0.007327,0.007327
